数据生成时间：2021-01-06 06:37
数据生成条件：
1. 时间范围：20210105
2. 时间单位：分日
3. 推广设备：移动设备，计算机

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,商桥转化,推广计划ID
"蓝都hbljk-2","2021-01-05","第三方软件-Rar解压软件",175652,6578,2318.91,0.35,3.74%,0,0,132016792
"蓝都hbljk-2","2021-01-05","第三方软件-whatsapp",3205,44,9.33,0.21,1.37%,0,0,132016793
"蓝都hbljk-2","2021-01-05","第三方软件-classin",1198,348,92.78,0.27,29.05%,0,0,132016796
"蓝都hbljk-2","2021-01-05","第三方软件-foxmail",24400,1731,617.96,0.36,7.09%,0,0,132016797
"蓝都hbljk-2","2021-01-05","第三方软件-cad快速看图",28625,85,22.25,0.26,0.30%,0,0,132016798
"蓝都hbljk-2","2021-01-05","第三方软件-CAJViewer",20605,2765,977.51,0.35,13.42%,0,0,132016799
"蓝都hbljk-2","2021-01-05","行业定投-拼音输入法",30753,6408,2488.22,0.39,20.84%,0,0,132016800
"蓝都hbljk-2","2021-01-05","行业定投-五笔输入法",4352,237,84.60,0.36,5.45%,0,0,132016801
"蓝都hbljk-2","2021-01-05","行业定投-WPS-excel",2732,320,104.68,0.33,11.71%,0,0,132016802
"蓝都hbljk-2","2021-01-05","行业定投-WPS办公软件",5105,791,241.72,0.31,15.49%,0,0,132016803
"蓝都hbljk-2","2021-01-05","第三方软件-瞩目",2586,736,176.88,0.24,28.46%,0,0,132016806
"蓝都hbljk-2","2021-01-05","第三方软件-桌面日历",11382,701,146.71,0.21,6.16%,0,0,132016807
"蓝都hbljk-2","2021-01-05","第三方软件-洋葱教学",855,156,32.13,0.21,18.25%,0,0,132016808
"蓝都hbljk-2","2021-01-05","第三方软件-智能ABC",672,155,40.54,0.26,23.07%,0,0,132016809
"蓝都hbljk-2","2021-01-05","第三方软件-微师客户端",1542,633,136.22,0.22,41.05%,0,0,132016810
"蓝都hbljk-2","2021-01-05","第三方软件-逍遥笔手写输入法",117050,745,207.92,0.28,0.64%,0,0,132016811
"蓝都hbljk-2","2021-01-05","第三方软件-万能五笔",80980,3928,2275.57,0.58,4.85%,0,0,132016812
"蓝都hbljk-2","2021-01-05","第三方软件-网易邮箱大师",12908,1611,395.99,0.25,12.48%,0,0,132016813
"蓝都hbljk-2","2021-01-05","第三方软件-极点五笔输入法",2929,318,108.41,0.34,10.86%,0,0,132016816
"蓝都hbljk-2","2021-01-05","第三方软件-极品五笔输入法",28589,3593,2097.68,0.58,12.57%,0,0,132016817
"蓝都hbljk-2","2021-01-05","第三方软件-光影魔术手",4480,86,20.91,0.24,1.92%,0,0,132016818
"蓝都hbljk-2","2021-01-05","第三方软件-zoom视频会议",776,7,1.65,0.24,0.90%,0,0,132016820
"蓝都hbljk-2","2021-01-05","第三方软件-WPS-PPT",27772,2346,730.00,0.31,8.45%,0,0,132016822
"蓝都hbljk-2","2021-01-05","第三方软件-WPS-word",332235,7977,2393.36,0.30,2.40%,0,0,132016823
"蓝都hbljk-2","2021-01-05","第三方软件-WPS",94692,5257,1943.11,0.37,5.55%,0,0,132016824
"蓝都hbljk-2","2021-01-05","第三方软件-WPS-excel",475437,7164,2560.39,0.36,1.51%,0,0,132016825
"蓝都hbljk-2","2021-01-05","第三方软件-输入法-搜狗",128810,770,261.98,0.34,0.60%,0,0,134966391
"蓝都hbljk-2","2021-01-05","第三方软件-网易云音乐",210449,2086,659.40,0.32,0.99%,0,0,135820377
"蓝都hbljk-2","2021-01-05","第三方软件-火狐浏览器",4283,21,5.92,0.28,0.49%,0,0,139172410
"蓝都hbljk-2","2021-01-05","公司软件-C盘瘦身",158586,5775,1770.21,0.31,3.64%,0,0,139562239
"蓝都hbljk-2","2021-01-05","第三方软件-bandzip",8763,1963,473.36,0.24,22.40%,0,0,141905317
"蓝都hbljk-2","2021-01-05","第三方软件-暴风影音",12343,393,116.91,0.30,3.18%,0,0,142708328
"蓝都hbljk-2","2021-01-05","第三方软件-芒果TV",89,1,0.26,0.26,1.12%,0,0,132016814
