账户名称,日期,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用,产品线
bj猎豹移动2,2021-01-05,第三方软件-王者荣耀PC版,591,7,1.18%,2.1,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-全民K歌,1193,47,3.94%,14.4,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-暴风影音,328,21,6.4%,6.3,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-芒果TV,485,11,2.27%,3.38,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-QQ,57931,402,0.69%,121.08,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-WPS-word,8736,288,3.3%,97.78,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-EV录屏,3821,15,0.39%,4.83,0.32,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-QQ影音,2746,22,0.8%,6.8,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-cad快速看图,2256,13,0.58%,4.83,0.37,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-Visio,1061,3,0.28%,0.9,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-网易邮箱大师,167,1,0.6%,0.31,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-teamviewer,3342,93,2.78%,28.48,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-美图秀秀,6018,33,0.55%,11.24,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-万能五笔,1453,33,2.27%,13.06,0.4,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-whatsapp,66,5,7.58%,1.5,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-驱动精灵,35234,667,1.89%,243.76,0.37,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-微信,22747,1270,5.58%,382.17,0.3,搜索推广
bj猎豹移动2,2021-01-05,公司软件-猎豹免费WIFI,78,4,5.13%,1.42,0.36,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-极品五笔输入法,4759,257,5.4%,94.84,0.37,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-WPS-excel,25055,1035,4.13%,373.31,0.36,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-小鱼易连,424,11,2.59%,3.3,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-光影魔术手,1651,48,2.91%,16.56,0.35,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-腾讯会议,680,3,0.44%,0.9,0.3,搜索推广
bj猎豹移动2,2021-01-05,公司软件-C盘瘦身,11558,594,5.14%,223.52,0.38,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-FlashPlayer,6670,139,2.08%,47.68,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-瞩目,1092,17,1.56%,5.83,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-QQ五笔,624,8,1.28%,2.51,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-优酷客户端,13044,293,2.25%,87.9,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-陌陌电脑版,73,1,1.37%,0.3,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-WPS,292769,7310,2.5%,3039.09,0.42,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-搜狗输入法,24350,728,2.99%,329.03,0.45,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-photoshopcs6,5790,11,0.19%,4.08,0.37,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-向日葵,26395,1130,4.28%,373.14,0.33,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-荒野行动,1545,69,4.47%,20.7,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-我的世界,8891,498,5.6%,149.4,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-千牛,9346,523,5.6%,203.13,0.39,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-网易云音乐,7839,175,2.23%,52.5,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-zoom视频会议,2571,28,1.09%,10.07,0.36,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-钉钉电脑版,52577,1023,1.95%,358.31,0.35,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-雷电模拟器,6670,79,1.18%,24.24,0.31,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-cctalk,1741,75,4.31%,25.47,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-极点五笔输入法,4758,79,1.66%,24.09,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-香肠派对,995,100,10.05%,30.49,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-逍遥笔手写输入法,1239,43,3.47%,14.78,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-Rar解压软件,7044,112,1.59%,36.17,0.32,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-酷我音乐,3273,336,10.27%,100.75,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-金山打字通,9904,873,8.81%,300.59,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-搜狗五笔,8644,71,0.82%,23.91,0.34,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-QQ拼音,2415,59,2.44%,18.59,0.32,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-微师客户端,817,53,6.49%,15.9,0.3,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-CAJViewer,983,52,5.29%,18.91,0.36,搜索推广
bj猎豹移动2,2021-01-05,第三方软件-阿里旺旺,4190,154,3.68%,64.12,0.42,搜索推广

总展示次数,总点击次数,平均点击率,总费用,平均点击费用
698629,18922,2.71%,7038.45,0.37
