数据生成时间：2020-12-31 11:25
数据生成条件：
1. 时间范围：20201230
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2020-12-30","蓝都hbljk-2","第三方软件-Rar解压软件",132016792,140991,5409,1916.26,3.84%,0.35,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-whatsapp",132016793,2844,31,6.77,1.09%,0.22,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-classin",132016796,979,229,70.24,23.39%,0.31,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-foxmail",132016797,20122,1230,439.14,6.11%,0.36,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-cad快速看图",132016798,24148,64,18.17,0.27%,0.28,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-CAJViewer",132016799,18680,2444,834.45,13.08%,0.34,0,0
"2020-12-30","蓝都hbljk-2","行业定投-拼音输入法",132016800,30986,7178,2674.60,23.17%,0.37,0,0
"2020-12-30","蓝都hbljk-2","行业定投-五笔输入法",132016801,3362,153,53.49,4.55%,0.35,0,0
"2020-12-30","蓝都hbljk-2","行业定投-WPS-excel",132016802,1876,166,52.84,8.85%,0.32,0,0
"2020-12-30","蓝都hbljk-2","行业定投-WPS办公软件",132016803,4845,661,202.34,13.64%,0.31,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-瞩目",132016806,2937,906,234.46,30.85%,0.26,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-桌面日历",132016807,7630,479,99.90,6.28%,0.21,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-洋葱教学",132016808,861,149,31.41,17.31%,0.21,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-智能ABC",132016809,631,140,31.42,22.19%,0.22,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-微师客户端",132016810,1032,359,72.69,34.79%,0.20,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-逍遥笔手写输入法",132016811,65830,707,187.29,1.07%,0.26,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-万能五笔",132016812,51899,2935,1613.49,5.66%,0.55,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-网易邮箱大师",132016813,11501,1378,340.55,11.98%,0.25,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-极点五笔输入法",132016816,1889,239,81.56,12.65%,0.34,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-极品五笔输入法",132016817,22684,2844,1638.47,12.54%,0.58,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-光影魔术手",132016818,4656,120,29.76,2.58%,0.25,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-zoom视频会议",132016820,715,8,1.82,1.12%,0.23,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-WPS-PPT",132016822,24969,2228,699.05,8.92%,0.31,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-WPS-word",132016823,243795,7118,2238.60,2.92%,0.31,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-WPS",132016824,73383,4492,1765.49,6.12%,0.39,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-WPS-excel",132016825,341443,6105,2282.40,1.79%,0.37,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-输入法-搜狗",134966391,116349,536,177.48,0.46%,0.33,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-网易云音乐",135820377,247513,3926,1142.44,1.59%,0.29,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-火狐浏览器",139172410,6290,32,8.74,0.51%,0.27,0,0
"2020-12-30","蓝都hbljk-2","公司软件-C盘瘦身",139562239,137758,5743,1736.01,4.17%,0.30,0,0
"2020-12-30","蓝都hbljk-2","第三方软件-bandzip",141905317,5937,1280,300.88,21.56%,0.24,0,0
