编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,130061,5663,2790.33,4.35%,0.49,398
1,2020-12-30,rj@l1.pingsheme.com,第三方软件-网易云音乐,34218,566,254.52,1.65%,0.45,12
2,2020-12-30,rj@l1.pingsheme.com,第三方软件-火狐浏览器,1447,6,2.70,0.41%,0.45,3
3,2020-12-30,rj@l1.pingsheme.com,第三方软件-拼音输入法,266,10,4.50,3.76%,0.45,3
4,2020-12-30,rj@l1.pingsheme.com,第三方软件-QQ,7026,157,70.51,2.23%,0.45,40
5,2020-12-30,rj@l1.pingsheme.com,第三方软件-雷电模拟器,4503,233,104.76,5.17%,0.45,6
6,2020-12-30,rj@l1.pingsheme.com,第三方软件-WPS,29107,2936,1532.32,10.09%,0.52,140
7,2020-12-30,rj@l1.pingsheme.com,第三方软件-万能五笔,1054,30,13.44,2.85%,0.45,18
8,2020-12-30,rj@l1.pingsheme.com,第三方软件-小鱼易连,705,22,10.34,3.12%,0.47,3
9,2020-12-30,rj@l1.pingsheme.com,第三方软件-钉钉电脑版,11587,307,165.40,2.65%,0.54,31
10,2020-12-30,rj@l1.pingsheme.com,第三方软件-腾讯视频,4753,24,10.80,0.50%,0.45,7
11,2020-12-30,rj@l1.pingsheme.com,第三方软件-千牛,3989,91,40.95,2.28%,0.45,17
12,2020-12-30,rj@l1.pingsheme.com,第三方软件-暴风影音,2139,132,58.90,6.17%,0.45,19
13,2020-12-30,rj@l1.pingsheme.com,第三方软件-新微信PC版,8,2,0.90,25.00%,0.45,2
14,2020-12-30,rj@l1.pingsheme.com,第三方软件-FlashPlayer,4211,200,89.98,4.75%,0.45,19
15,2020-12-30,rj@l1.pingsheme.com,第三方软件-谷歌浏览器,19614,238,111.89,1.21%,0.47,12
16,2020-12-30,rj@l1.pingsheme.com,第三方软件-WPS-excel,5378,707,317.52,13.15%,0.45,64
17,2020-12-30,rj@l1.pingsheme.com,第三方软件-cad快速看图,56,2,0.90,3.57%,0.45,2
