编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,310141,39662,18488.50,12.79%,0.47,1621
1,2021-01-10,ruri38@sina.com,壁纸-星空,562,43,19.35,7.6500000000000003552713678800500929355621337890625%,0.45,12
2,2021-01-10,ruri38@sina.com,壁纸-灵魂莲华,14,1,0.45,7.13999999999999968025576890795491635799407958984375%,0.45,1
3,2021-01-10,ruri38@sina.com,壁纸-搞怪搞笑,14,2,0.90,14.28999999999999914734871708787977695465087890625%,0.45,2
4,2021-01-10,ruri38@sina.com,壁纸-篮球,425,23,10.35,5.410000000000000142108547152020037174224853515625%,0.45,8
5,2021-01-10,ruri38@sina.com,壁纸-古风壁纸,224,19,8.75,8.480000000000000426325641456060111522674560546875%,0.46,9
6,2021-01-10,ruri38@sina.com,壁纸-天官赐福壁纸,381,20,9.00,5.25%,0.45,8
7,2021-01-10,ruri38@sina.com,壁纸-夏目友人帐,470,6,2.58,1.2800000000000000266453525910037569701671600341796875%,0.43,4
8,2021-01-10,ruri38@sina.com,壁纸-王者,590,36,16.78,6.0999999999999996447286321199499070644378662109375%,0.47,3
9,2021-01-10,ruri38@sina.com,壁纸-刺客伍六七,16,1,0.45,6.25%,0.45,1
10,2021-01-10,ruri38@sina.com,壁纸-路人女主养成方法,155,6,2.61,3.87000000000000010658141036401502788066864013671875%,0.44,4
11,2021-01-10,ruri38@sina.com,壁纸-天行九歌壁纸,68,6,2.70,8.82000000000000028421709430404007434844970703125%,0.45,6
12,2021-01-10,ruri38@sina.com,壁纸-七龙珠壁纸,524,7,3.15,1.3400000000000000799360577730112709105014801025390625%,0.45,4
13,2021-01-10,ruri38@sina.com,壁纸-只狼壁纸,56,4,1.80,7.13999999999999968025576890795491635799407958984375%,0.45,2
14,2021-01-10,ruri38@sina.com,壁纸-海贼王,2259,158,73.78,6.9900000000000002131628207280300557613372802734375%,0.47,31
15,2021-01-10,ruri38@sina.com,壁纸-宇宙,33,5,2.25,15.1500000000000003552713678800500929355621337890625%,0.45,3
16,2021-01-10,ruri38@sina.com,壁纸-鬼刀,522,42,19.07,8.050000000000000710542735760100185871124267578125%,0.45,13
17,2021-01-10,ruri38@sina.com,壁纸-卡通壁纸,72,11,4.91,15.2799999999999993605115378159098327159881591796875%,0.45,2
18,2021-01-10,ruri38@sina.com,壁纸-桌面整理,855,33,14.83,3.859999999999999875655021241982467472553253173828125%,0.45,8
19,2021-01-10,ruri38@sina.com,壁纸-哆啦a梦,141,6,2.61,4.2599999999999997868371792719699442386627197265625%,0.44,5
20,2021-01-10,ruri38@sina.com,壁纸-火影,998,88,41.24,8.82000000000000028421709430404007434844970703125%,0.47,19
21,2021-01-10,ruri38@sina.com,壁纸-百变小樱,26,3,1.35,11.53999999999999914734871708787977695465087890625%,0.45,3
22,2021-01-10,ruri38@sina.com,公司软件-壁纸-美女,778,27,12.35,3.470000000000000195399252334027551114559173583984375%,0.46,6
23,2021-01-10,ruri38@sina.com,壁纸-樱花,18,1,0.45,5.55999999999999960920149533194489777088165283203125%,0.45,1
24,2021-01-10,ruri38@sina.com,壁纸-猫,85,6,2.70,7.05999999999999960920149533194489777088165283203125%,0.45,3
25,2021-01-10,ruri38@sina.com,壁纸-布朗熊,6,1,0.45,16.6700000000000017053025658242404460906982421875%,0.45,1
26,2021-01-10,ruri38@sina.com,壁纸-漫威,192,8,3.70,4.1699999999999999289457264239899814128875732421875%,0.46,5
27,2021-01-10,ruri38@sina.com,公司软件-高清壁纸5,6260,1074,502.00,17.160000000000000142108547152020037174224853515625%,0.47,14
28,2021-01-10,ruri38@sina.com,壁纸-行业词,20833,2576,1232.91,12.3599999999999994315658113919198513031005859375%,0.48,119
29,2021-01-10,ruri38@sina.com,壁纸-简约,625,100,45.00,16%,0.45,6
30,2021-01-10,ruri38@sina.com,壁纸-愤怒的小鸟,4,2,0.90,50%,0.45,1
31,2021-01-10,ruri38@sina.com,壁纸-千与千寻,6,2,0.90,33.3299999999999982946974341757595539093017578125%,0.45,1
32,2021-01-10,ruri38@sina.com,壁纸-少女,4,1,0.45,25%,0.45,1
33,2021-01-10,ruri38@sina.com,壁纸-win壁纸,804,84,39.18,10.449999999999999289457264239899814128875732421875%,0.47,35
34,2021-01-10,ruri38@sina.com,公司软件-壁纸-英雄联盟,524,60,27.76,11.449999999999999289457264239899814128875732421875%,0.46,15
35,2021-01-10,ruri38@sina.com,壁纸-初音未来,122,2,0.90,1.6399999999999999023003738329862244427204132080078125%,0.45,2
36,2021-01-10,ruri38@sina.com,壁纸-二次元动漫,2304,235,109.76,10.199999999999999289457264239899814128875732421875%,0.47,43
37,2021-01-10,ruri38@sina.com,公司软件-动态壁纸1,3227,519,256.22,16.0799999999999982946974341757595539093017578125%,0.49,34
38,2021-01-10,ruri38@sina.com,壁纸-高达壁纸,65,8,3.60,12.3100000000000004973799150320701301097869873046875%,0.45,5
39,2021-01-10,ruri38@sina.com,壁纸-插画,248,6,2.70,2.4199999999999999289457264239899814128875732421875%,0.45,3
40,2021-01-10,ruri38@sina.com,壁纸-明日方舟,857,9,4.21,1.0500000000000000444089209850062616169452667236328125%,0.47,4
41,2021-01-10,ruri38@sina.com,壁纸-绿色护眼,97,12,5.40,12.3699999999999992184029906638897955417633056640625%,0.45,10
42,2021-01-10,ruri38@sina.com,壁纸-哈利波特,24,3,1.35,12.5%,0.45,3
43,2021-01-10,ruri38@sina.com,壁纸-JOJO,86,5,2.25,5.80999999999999960920149533194489777088165283203125%,0.45,5
44,2021-01-10,ruri38@sina.com,壁纸-紫罗兰永恒花园,66,3,1.35,4.54999999999999982236431605997495353221893310546875%,0.45,3
45,2021-01-10,ruri38@sina.com,壁纸-冰雪奇缘壁纸,2,1,0.45,50%,0.45,1
46,2021-01-10,ruri38@sina.com,壁纸-男生壁纸,10,2,0.94,20%,0.47,2
47,2021-01-10,ruri38@sina.com,壁纸-汽车,111,8,3.60,7.20999999999999996447286321199499070644378662109375%,0.45,6
48,2021-01-10,ruri38@sina.com,公司软件-壁纸-动漫,2154,261,120.44,12.1199999999999992184029906638897955417633056640625%,0.46,27
49,2021-01-10,ruri38@sina.com,壁纸-动物,3,1,0.45,33.3299999999999982946974341757595539093017578125%,0.45,1
50,2021-01-10,ruri38@sina.com,壁纸-鼠标,840,135,59.71,16.07000000000000028421709430404007434844970703125%,0.44,27
51,2021-01-10,ruri38@sina.com,公司软件-壁纸软件7,2996,462,214.62,15.4199999999999999289457264239899814128875732421875%,0.46,35
52,2021-01-10,ruri38@sina.com,公司软件-动态壁纸,1745,587,257.58,33.6400000000000005684341886080801486968994140625%,0.44,3
53,2021-01-10,ruri38@sina.com,壁纸-言叶之庭,8,1,0.45,12.5%,0.45,1
54,2021-01-10,ruri38@sina.com,壁纸-musedash的壁纸,46,7,3.15,15.2200000000000006394884621840901672840118408203125%,0.45,2
55,2021-01-10,ruri38@sina.com,壁纸-壁纸少女心,198,17,7.65,8.589999999999999857891452847979962825775146484375%,0.45,5
56,2021-01-10,ruri38@sina.com,壁纸-天气之子,108,3,1.37,2.779999999999999804600747665972448885440826416015625%,0.46,1
57,2021-01-10,ruri38@sina.com,壁纸-狗狗,4,2,0.90,50%,0.45,2
58,2021-01-10,ruri38@sina.com,壁纸-灌篮高手,58,7,3.15,12.07000000000000028421709430404007434844970703125%,0.45,4
59,2021-01-10,ruri38@sina.com,壁纸-自然景观,137,15,6.75,10.949999999999999289457264239899814128875732421875%,0.45,4
60,2021-01-10,ruri38@sina.com,公司软件-桌面壁纸4,8715,1319,615.34,15.1300000000000007815970093361102044582366943359375%,0.47,31
61,2021-01-10,ruri38@sina.com,壁纸-小黄人,26,4,1.80,15.3800000000000007815970093361102044582366943359375%,0.45,2
62,2021-01-10,ruri38@sina.com,壁纸-一拳超人壁纸,45,2,0.90,4.44000000000000039079850466805510222911834716796875%,0.45,2
63,2021-01-10,ruri38@sina.com,壁纸-游戏,103,18,8.42,17.480000000000000426325641456060111522674560546875%,0.47,4
64,2021-01-10,ruri38@sina.com,壁纸-最终幻想,4,2,0.90,50%,0.45,1
65,2021-01-10,ruri38@sina.com,壁纸-唯美,807,74,33.29,9.1699999999999999289457264239899814128875732421875%,0.45,8
66,2021-01-10,ruri38@sina.com,壁纸-动态壁纸制作,75,10,4.50,13.3300000000000000710542735760100185871124267578125%,0.45,10
67,2021-01-10,ruri38@sina.com,公司软件-动态桌面8,1178,300,139.82,25.469999999999998863131622783839702606201171875%,0.47,9
68,2021-01-10,ruri38@sina.com,壁纸-ins风,120,11,4.95,9.1699999999999999289457264239899814128875732421875%,0.45,7
69,2021-01-10,ruri38@sina.com,壁纸-你的名字,540,29,13.33,5.37000000000000010658141036401502788066864013671875%,0.46,8
70,2021-01-10,ruri38@sina.com,壁纸-乔丹壁纸,7,1,0.45,14.28999999999999914734871708787977695465087890625%,0.45,1
71,2021-01-10,ruri38@sina.com,壁纸-魔道祖师,14,3,1.35,21.42999999999999971578290569595992565155029296875%,0.45,2
72,2021-01-10,ruri38@sina.com,壁纸-大海,6,2,0.90,33.3299999999999982946974341757595539093017578125%,0.45,1
73,2021-01-10,ruri38@sina.com,壁纸-竞品软件,5630,469,218.09,8.3300000000000000710542735760100185871124267578125%,0.47,45
74,2021-01-10,ruri38@sina.com,壁纸-美少女战士,78,7,3.15,8.9700000000000006394884621840901672840118408203125%,0.45,3
75,2021-01-10,ruri38@sina.com,壁纸-科幻,67,4,1.80,5.96999999999999975131004248396493494510650634765625%,0.45,4
76,2021-01-10,ruri38@sina.com,公司软件-电脑桌面壁纸10,3141,536,250.94,17.059999999999998721023075631819665431976318359375%,0.47,17
77,2021-01-10,ruri38@sina.com,壁纸-时钟,470,32,14.35,6.80999999999999960920149533194489777088165283203125%,0.45,18
78,2021-01-10,ruri38@sina.com,壁纸-锁屏壁纸,1601,69,32.23,4.30999999999999960920149533194489777088165283203125%,0.47,19
79,2021-01-10,ruri38@sina.com,壁纸-植物大战僵尸,13,2,0.90,15.3800000000000007815970093361102044582366943359375%,0.45,1
80,2021-01-10,ruri38@sina.com,壁纸-4K,2969,330,153.52,11.1099999999999994315658113919198513031005859375%,0.47,23
81,2021-01-10,ruri38@sina.com,壁纸-锦鲤壁纸,38,2,0.90,5.2599999999999997868371792719699442386627197265625%,0.45,2
82,2021-01-10,ruri38@sina.com,壁纸-CF,34,7,3.15,20.589999999999999857891452847979962825775146484375%,0.45,1
83,2021-01-10,ruri38@sina.com,壁纸-皮卡丘,92,8,3.60,8.699999999999999289457264239899814128875732421875%,0.45,3
84,2021-01-10,ruri38@sina.com,壁纸-鬼灭之刃,376,34,15.86,9.03999999999999914734871708787977695465087890625%,0.47,7
85,2021-01-10,ruri38@sina.com,壁纸-我的世界,109,7,3.15,6.4199999999999999289457264239899814128875732421875%,0.45,4
86,2021-01-10,ruri38@sina.com,壁纸-神奇宝贝,43,1,0.45,2.3300000000000000710542735760100185871124267578125%,0.45,1
87,2021-01-10,ruri38@sina.com,壁纸-星球大战,10,3,1.35,30%,0.45,2
88,2021-01-10,ruri38@sina.com,壁纸-龙猫壁纸,26,1,0.43,3.850000000000000088817841970012523233890533447265625%,0.43,1
89,2021-01-10,ruri38@sina.com,壁纸-C罗壁纸,43,1,0.45,2.3300000000000000710542735760100185871124267578125%,0.45,1
90,2021-01-10,ruri38@sina.com,壁纸-小清新,160,18,8.10,11.25%,0.45,6
91,2021-01-10,ruri38@sina.com,公司软件-壁纸-萌宠,8,2,0.94,25%,0.47,1
92,2021-01-10,ruri38@sina.com,壁纸-文字,17,1,0.45,5.87999999999999989341858963598497211933135986328125%,0.45,1
93,2021-01-10,ruri38@sina.com,公司软件-电脑桌面9,1034,105,48.10,10.1500000000000003552713678800500929355621337890625%,0.46,2
94,2021-01-10,ruri38@sina.com,壁纸-碧蓝航线,23,4,1.88,17.3900000000000005684341886080801486968994140625%,0.47,2
95,2021-01-10,ruri38@sina.com,壁纸-DNF壁纸,150,10,4.50,6.6699999999999999289457264239899814128875732421875%,0.45,2
96,2021-01-10,ruri38@sina.com,壁纸-02壁纸,137,14,6.52,10.2200000000000006394884621840901672840118408203125%,0.47,6
97,2021-01-10,ruri38@sina.com,壁纸-奥特曼,132,17,7.56,12.8800000000000007815970093361102044582366943359375%,0.44,5
98,2021-01-10,ruri38@sina.com,壁纸-屏保,775,39,17.48,5.03000000000000024868995751603506505489349365234375%,0.45,12
99,2021-01-10,ruri38@sina.com,壁纸-爱情,26,2,0.90,7.69000000000000039079850466805510222911834716796875%,0.45,2
100,2021-01-10,ruri38@sina.com,壁纸-fate,162,11,5.03,6.79000000000000003552713678800500929355621337890625%,0.46,7
101,2021-01-10,ruri38@sina.com,壁纸-阿丽塔壁纸,4,1,0.45,25%,0.45,1
102,2021-01-10,ruri38@sina.com,壁纸-蕾姆壁纸,10,1,0.47,10%,0.47,1
103,2021-01-10,ruri38@sina.com,公司软件-电脑壁纸3,14671,2337,1075.91,15.92999999999999971578290569595992565155029296875%,0.46,65
104,2021-01-10,ruri38@sina.com,壁纸-蜡笔小新,145,4,1.80,2.7599999999999997868371792719699442386627197265625%,0.45,3
105,2021-01-10,ruri38@sina.com,壁纸-尼尔机械纪元,10,2,0.90,20%,0.45,1
106,2021-01-10,ruri38@sina.com,壁纸-阿狸,58,2,0.90,3.45000000000000017763568394002504646778106689453125%,0.45,2
107,2021-01-09,ruri38@sina.com,壁纸-阿狸,26,3,1.35,11.53999999999999914734871708787977695465087890625%,0.45,2
108,2021-01-09,ruri38@sina.com,壁纸-天行九歌壁纸,66,7,3.15,10.6099999999999994315658113919198513031005859375%,0.45,5
109,2021-01-09,ruri38@sina.com,壁纸-古风壁纸,164,13,6.01,7.92999999999999971578290569595992565155029296875%,0.46,4
110,2021-01-09,ruri38@sina.com,壁纸-搞怪搞笑,4,1,0.45,25%,0.45,1
111,2021-01-09,ruri38@sina.com,壁纸-篮球,292,22,9.82,7.53000000000000024868995751603506505489349365234375%,0.45,8
112,2021-01-09,ruri38@sina.com,壁纸-灵魂莲华,12,2,0.90,16.6700000000000017053025658242404460906982421875%,0.45,1
113,2021-01-09,ruri38@sina.com,壁纸-王者,584,16,7.48,2.7400000000000002131628207280300557613372802734375%,0.47,4
114,2021-01-09,ruri38@sina.com,壁纸-夏目友人帐,99,5,2.25,5.04999999999999982236431605997495353221893310546875%,0.45,1
115,2021-01-09,ruri38@sina.com,壁纸-小林家的龙女仆,6,2,0.90,33.3299999999999982946974341757595539093017578125%,0.45,2
116,2021-01-09,ruri38@sina.com,壁纸-路人女主养成方法,50,3,1.35,6%,0.45,3
117,2021-01-09,ruri38@sina.com,壁纸-刺客伍六七,28,3,1.35,10.71000000000000085265128291212022304534912109375%,0.45,3
118,2021-01-09,ruri38@sina.com,壁纸-碧蓝航线,26,1,0.47,3.850000000000000088817841970012523233890533447265625%,0.47,1
