编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,1434457,153666,85267.14,10.71%,0.55,2933
1,2021-01-10,liubaoxin@cmcm.com,第三方软件-千牛,2457,649,303.29,26.410000000000000142108547152020037174224853515625%,0.47,32
2,2021-01-10,liubaoxin@cmcm.com,第三方软件-韩语输入法,86,12,5.40,13.949999999999999289457264239899814128875732421875%,0.45,4
3,2021-01-10,liubaoxin@cmcm.com,公司软件-金山打字通,1204,208,111.15,17.280000000000001136868377216160297393798828125%,0.53,20
4,2021-01-10,liubaoxin@cmcm.com,第三方软件-Microsoft,1345,28,12.60,2.0800000000000000710542735760100185871124267578125%,0.45,7
5,2021-01-10,liubaoxin@cmcm.com,第三方软件-分区助手,1669,58,25.42,3.479999999999999982236431605997495353221893310546875%,0.44,6
6,2021-01-10,liubaoxin@cmcm.com,第三方软件-比特精灵,300,17,7.65,5.6699999999999999289457264239899814128875732421875%,0.45,4
7,2021-01-10,liubaoxin@cmcm.com,第三方软件-拳皇,1580,224,100.12,14.17999999999999971578290569595992565155029296875%,0.45,20
8,2021-01-10,liubaoxin@cmcm.com,第三方软件-我的世界,3170,639,287.48,20.160000000000000142108547152020037174224853515625%,0.45,28
9,2021-01-10,liubaoxin@cmcm.com,第三方软件-WPS-word,8042,867,389.80,10.7799999999999993605115378159098327159881591796875%,0.45,72
10,2021-01-10,liubaoxin@cmcm.com,第三方软件-王者荣耀PC版,7542,155,69.75,2.060000000000000053290705182007513940334320068359375%,0.45,11
11,2021-01-10,liubaoxin@cmcm.com,第三方软件-谷歌浏览器,19992,1373,809.75,6.87000000000000010658141036401502788066864013671875%,0.59,65
12,2021-01-10,liubaoxin@cmcm.com,第三方软件-小鱼易连,646,136,65.75,21.050000000000000710542735760100185871124267578125%,0.48,10
13,2021-01-10,liubaoxin@cmcm.com,毒霸-杀软,714,35,15.55,4.9000000000000003552713678800500929355621337890625%,0.44,7
14,2021-01-10,liubaoxin@cmcm.com,第三方软件-QQ音乐,112,6,2.70,5.36000000000000031974423109204508364200592041015625%,0.45,5
15,2021-01-10,liubaoxin@cmcm.com,第三方软件-向日葵,6654,1277,654.65,19.190000000000001278976924368180334568023681640625%,0.51,14
16,2021-01-10,liubaoxin@cmcm.com,第三方软件-美图秀秀,6934,213,95.85,3.069999999999999840127884453977458178997039794921875%,0.45,6
17,2021-01-10,liubaoxin@cmcm.com,第三方软件-中望cad,3,1,0.45,33.3299999999999982946974341757595539093017578125%,0.45,1
18,2021-01-10,liubaoxin@cmcm.com,第三方软件-网易云音乐,39147,973,466.46,2.4900000000000002131628207280300557613372802734375%,0.48,15
19,2021-01-10,liubaoxin@cmcm.com,第三方软件-驱动精灵,17448,2374,1367.96,13.6099999999999994315658113919198513031005859375%,0.58,19
20,2021-01-10,liubaoxin@cmcm.com,公司软件-猎豹浏览器,7208,356,161.22,4.94000000000000039079850466805510222911834716796875%,0.45,33
21,2021-01-10,liubaoxin@cmcm.com,第三方软件-狸窝全能视频转换器,83,18,8.10,21.690000000000001278976924368180334568023681640625%,0.45,7
22,2021-01-10,liubaoxin@cmcm.com,第三方软件-zoom视频会议,136,35,15.75,25.739999999999998436805981327779591083526611328125%,0.45,9
23,2021-01-10,liubaoxin@cmcm.com,第三方软件-xmind,723,212,108.55,29.32000000000000028421709430404007434844970703125%,0.51,8
24,2021-01-10,liubaoxin@cmcm.com,第三方软件-暴风影音,3263,556,255.89,17.03999999999999914734871708787977695465087890625%,0.46,21
25,2021-01-10,liubaoxin@cmcm.com,第三方软件-拼音输入法,4507,190,85.20,4.21999999999999975131004248396493494510650634765625%,0.45,19
26,2021-01-10,liubaoxin@cmcm.com,第三方软件-WPS2019,153,36,16.20,23.530000000000001136868377216160297393798828125%,0.45,8
27,2021-01-10,liubaoxin@cmcm.com,第三方软件-PDF-竞品,410,8,3.60,1.9499999999999999555910790149937383830547332763671875%,0.45,5
28,2021-01-10,liubaoxin@cmcm.com,第三方软件-极品五笔输入法,647,112,53.35,17.309999999999998721023075631819665431976318359375%,0.48,12
29,2021-01-10,liubaoxin@cmcm.com,第三方软件-welink,24,3,1.41,12.5%,0.47,2
30,2021-01-10,liubaoxin@cmcm.com,第三方软件-逍遥笔手写输入法,489,64,34.57,13.089999999999999857891452847979962825775146484375%,0.54,9
31,2021-01-10,liubaoxin@cmcm.com,第三方软件-完美解码,551,7,3.15,1.270000000000000017763568394002504646778106689453125%,0.45,3
32,2021-01-10,liubaoxin@cmcm.com,第三方软件-AutoCAD,296,39,17.55,13.17999999999999971578290569595992565155029296875%,0.45,21
33,2021-01-10,liubaoxin@cmcm.com,第三方软件-阿里旺旺,2909,302,145.31,10.3800000000000007815970093361102044582366943359375%,0.48,20
34,2021-01-10,liubaoxin@cmcm.com,第三方软件-WPS,25049,4278,2378.66,17.0799999999999982946974341757595539093017578125%,0.56,122
35,2021-01-10,liubaoxin@cmcm.com,第三方软件-洋葱教学,752,88,39.60,11.699999999999999289457264239899814128875732421875%,0.45,6
36,2021-01-10,liubaoxin@cmcm.com,第三方软件-CorelDRAW,153,17,7.65,11.1099999999999994315658113919198513031005859375%,0.45,4
37,2021-01-10,liubaoxin@cmcm.com,第三方软件-新酷我音乐,3882,724,354.95,18.64999999999999857891452847979962825775146484375%,0.49,16
38,2021-01-10,liubaoxin@cmcm.com,第三方软件-智能ABC,70,4,1.80,5.70999999999999996447286321199499070644378662109375%,0.45,3
39,2021-01-10,liubaoxin@cmcm.com,第三方软件-部落冲突,35,5,2.37,14.28999999999999914734871708787977695465087890625%,0.47,3
40,2021-01-10,liubaoxin@cmcm.com,第三方软件-全民K歌,4611,794,353.10,17.219999999999998863131622783839702606201171875%,0.44,15
41,2021-01-10,liubaoxin@cmcm.com,第三方软件-QQ影音,2079,57,25.83,2.7400000000000002131628207280300557613372802734375%,0.45,7
42,2021-01-10,liubaoxin@cmcm.com,第三方软件-微师客户端,1464,201,91.52,13.730000000000000426325641456060111522674560546875%,0.46,18
43,2021-01-10,liubaoxin@cmcm.com,第三方软件-和平精英,423,50,22.50,11.82000000000000028421709430404007434844970703125%,0.45,7
44,2021-01-10,liubaoxin@cmcm.com,第三方软件-猎豹免费WIFI,1075,37,19.24,3.439999999999999946709294817992486059665679931640625%,0.52,6
45,2021-01-10,liubaoxin@cmcm.com,第三方软件-cad快速看图,1571,205,114.20,13.050000000000000710542735760100185871124267578125%,0.56,18
46,2021-01-10,liubaoxin@cmcm.com,第三方软件-网盘,4576,65,31.20,1.4199999999999999289457264239899814128875732421875%,0.48,8
47,2021-01-10,liubaoxin@cmcm.com,第三方软件-雷电模拟器,5612,1003,451.08,17.870000000000000994759830064140260219573974609375%,0.45,15
48,2021-01-10,liubaoxin@cmcm.com,第三方软件-万能五笔,6376,1130,611.49,17.719999999999998863131622783839702606201171875%,0.54,61
49,2021-01-10,liubaoxin@cmcm.com,第三方软件-学而思,4,1,0.45,25%,0.45,1
50,2021-01-10,liubaoxin@cmcm.com,第三方软件-rar解压软件,19047,1253,655.34,6.5800000000000000710542735760100185871124267578125%,0.52,99
51,2021-01-10,liubaoxin@cmcm.com,第三方软件-itunes,920,17,7.65,1.850000000000000088817841970012523233890533447265625%,0.45,6
52,2021-01-10,liubaoxin@cmcm.com,第三方软件-猿辅导,1093,249,113.45,22.780000000000001136868377216160297393798828125%,0.46,13
53,2021-01-10,liubaoxin@cmcm.com,第三方软件-MindManager,58,1,0.44,1.7199999999999999733546474089962430298328399658203125%,0.44,1
54,2021-01-10,liubaoxin@cmcm.com,第三方软件-EV录屏,53,2,0.93,3.770000000000000017763568394002504646778106689453125%,0.47,2
