日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-哈利波特,71,4,5.63%,1.2,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-百变小樱,103,5,4.85%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-海洋,173,5,2.89%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-明日方舟,343,5,1.46%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-尼尔机械纪元,56,3,5.36%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-银魂,28,3,10.71%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-DNF壁纸,37,3,8.11%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-高达壁纸,105,3,2.86%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-布朗熊,161,3,1.86%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-科幻,114,5,4.39%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-桌面整理,425,6,1.41%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-动态壁纸制作,284,13,4.58%,3.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-碧蓝航线,122,14,11.48%,4.2,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-汽车,351,15,4.27%,4.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-小埋壁纸,147,10,6.8%,3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-只狼壁纸,81,7,8.64%,2.1,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-言叶之庭,94,6,6.38%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-宇宙,103,6,5.83%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-梅西壁纸,76,6,7.89%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-樱花,89,3,3.37%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-蜘蛛侠壁纸,50,3,6%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-愤怒的小鸟,56,1,1.79%,0.3,0.3
