编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,340981,15205,7442.22,4.46%,0.49,635
1,2021-01-10,rj@l1.pingsheme.com,第三方软件-腾讯视频,4033,42,18.90,1.04000000000000003552713678800500929355621337890625%,0.45,11
2,2021-01-10,rj@l1.pingsheme.com,第三方软件-拼音输入法,103,2,0.90,1.939999999999999946709294817992486059665679931640625%,0.45,2
3,2021-01-10,rj@l1.pingsheme.com,第三方软件-万能五笔,1725,32,13.92,1.8600000000000000976996261670137755572795867919921875%,0.44,16
4,2021-01-10,rj@l1.pingsheme.com,第三方软件-WPS-excel,4956,699,313.72,14.0999999999999996447286321199499070644378662109375%,0.45,65
5,2021-01-10,rj@l1.pingsheme.com,第三方软件-钉钉电脑版,19543,593,322.77,3.029999999999999804600747665972448885440826416015625%,0.54,29
6,2021-01-10,rj@l1.pingsheme.com,第三方软件-暴风影音,1544,87,39.10,5.62999999999999989341858963598497211933135986328125%,0.45,16
7,2021-01-10,rj@l1.pingsheme.com,第三方软件-谷歌浏览器,16104,164,75.99,1.020000000000000017763568394002504646778106689453125%,0.46,14
8,2021-01-10,rj@l1.pingsheme.com,第三方软件-QQ,3825,89,39.99,2.3300000000000000710542735760100185871124267578125%,0.45,38
9,2021-01-10,rj@l1.pingsheme.com,第三方软件-雷电模拟器,5969,455,204.53,7.62000000000000010658141036401502788066864013671875%,0.45,9
10,2021-01-10,rj@l1.pingsheme.com,第三方软件-网易云音乐,21797,271,121.95,1.2399999999999999911182158029987476766109466552734375%,0.45,9
11,2021-01-10,rj@l1.pingsheme.com,第三方软件-FlashPlayer,4104,194,87.24,4.730000000000000426325641456060111522674560546875%,0.45,26
12,2021-01-10,rj@l1.pingsheme.com,第三方软件-小鱼易连,281,5,2.33,1.7800000000000000266453525910037569701671600341796875%,0.47,2
13,2021-01-10,rj@l1.pingsheme.com,第三方软件-WPS,24205,2110,1081.90,8.7200000000000006394884621840901672840118408203125%,0.51,126
14,2021-01-10,rj@l1.pingsheme.com,第三方软件-火狐浏览器,1157,7,3.11,0.60999999999999998667732370449812151491641998291015625%,0.44,4
15,2021-01-10,rj@l1.pingsheme.com,第三方软件-cad快速看图,34,1,0.45,2.939999999999999946709294817992486059665679931640625%,0.45,1
16,2021-01-10,rj@l1.pingsheme.com,第三方软件-新微信PC版,3,3,1.35,100%,0.45,1
17,2021-01-10,rj@l1.pingsheme.com,第三方软件-千牛,2652,84,37.80,3.1699999999999999289457264239899814128875732421875%,0.45,12
18,2021-01-09,rj@l1.pingsheme.com,第三方软件-钉钉电脑版,16878,490,263.78,2.899999999999999911182158029987476766109466552734375%,0.54,38
19,2021-01-09,rj@l1.pingsheme.com,第三方软件-WPS,24461,2189,1122.42,8.949999999999999289457264239899814128875732421875%,0.51,131
20,2021-01-09,rj@l1.pingsheme.com,第三方软件-万能五笔,1863,31,13.65,1.6599999999999999200639422269887290894985198974609375%,0.44,16
21,2021-01-09,rj@l1.pingsheme.com,第三方软件-QQ,2751,68,30.47,2.470000000000000195399252334027551114559173583984375%,0.45,34
22,2021-01-09,rj@l1.pingsheme.com,第三方软件-千牛,2468,100,45.00,4.04999999999999982236431605997495353221893310546875%,0.45,15
23,2021-01-09,rj@l1.pingsheme.com,第三方软件-cad快速看图,57,3,1.35,5.2599999999999997868371792719699442386627197265625%,0.45,2
24,2021-01-09,rj@l1.pingsheme.com,第三方软件-网易云音乐,23691,286,128.70,1.20999999999999996447286321199499070644378662109375%,0.45,13
25,2021-01-09,rj@l1.pingsheme.com,第三方软件-拼音输入法,161,3,1.35,1.8600000000000000976996261670137755572795867919921875%,0.45,2
26,2021-01-09,rj@l1.pingsheme.com,第三方软件-谷歌浏览器,14754,166,78.43,1.12999999999999989341858963598497211933135986328125%,0.47,13
27,2021-01-09,rj@l1.pingsheme.com,第三方软件-小鱼易连,310,14,6.58,4.519999999999999573674358543939888477325439453125%,0.47,3
28,2021-01-09,rj@l1.pingsheme.com,第三方软件-暴风影音,1603,94,42.30,5.86000000000000031974423109204508364200592041015625%,0.45,12
29,2021-01-09,rj@l1.pingsheme.com,第三方软件-WPS-excel,5698,714,320.83,12.5299999999999993605115378159098327159881591796875%,0.45,62
30,2021-01-09,rj@l1.pingsheme.com,第三方软件-雷电模拟器,7542,570,256.34,7.55999999999999960920149533194489777088165283203125%,0.45,6
31,2021-01-09,rj@l1.pingsheme.com,第三方软件-腾讯视频,354,16,7.20,4.519999999999999573674358543939888477325439453125%,0.45,6
32,2021-01-09,rj@l1.pingsheme.com,第三方软件-FlashPlayer,4182,223,100.35,5.3300000000000000710542735760100185871124267578125%,0.45,23
33,2021-01-09,rj@l1.pingsheme.com,第三方软件-火狐浏览器,199,2,0.90,1.0100000000000000088817841970012523233890533447265625%,0.45,1
34,2021-01-08,rj@l1.pingsheme.com,第三方软件-钉钉电脑版,18602,560,307.32,3.0099999999999997868371792719699442386627197265625%,0.55,37
35,2021-01-08,rj@l1.pingsheme.com,第三方软件-WPS,28225,2379,1240.08,8.42999999999999971578290569595992565155029296875%,0.52,147
36,2021-01-08,rj@l1.pingsheme.com,第三方软件-万能五笔,1980,52,22.86,2.62999999999999989341858963598497211933135986328125%,0.44,16
37,2021-01-08,rj@l1.pingsheme.com,第三方软件-QQ,6239,87,39.15,1.3899999999999999023003738329862244427204132080078125%,0.45,30
38,2021-01-08,rj@l1.pingsheme.com,第三方软件-千牛,3003,98,44.10,3.2599999999999997868371792719699442386627197265625%,0.45,17
39,2021-01-08,rj@l1.pingsheme.com,第三方软件-cad快速看图,50,3,1.35,6%,0.45,1
40,2021-01-08,rj@l1.pingsheme.com,第三方软件-网易云音乐,28394,418,188.10,1.4699999999999999733546474089962430298328399658203125%,0.45,9
41,2021-01-08,rj@l1.pingsheme.com,第三方软件-拼音输入法,169,3,1.35,1.7800000000000000266453525910037569701671600341796875%,0.45,3
42,2021-01-08,rj@l1.pingsheme.com,第三方软件-谷歌浏览器,14912,159,75.32,1.0700000000000000621724893790087662637233734130859375%,0.47,14
43,2021-01-08,rj@l1.pingsheme.com,第三方软件-小鱼易连,600,15,7.05,2.5%,0.47,3
44,2021-01-08,rj@l1.pingsheme.com,第三方软件-暴风影音,1849,123,55.05,6.6500000000000003552713678800500929355621337890625%,0.45,15
45,2021-01-08,rj@l1.pingsheme.com,第三方软件-新微信PC版,3,1,0.55,33.3299999999999982946974341757595539093017578125%,0.55,1
46,2021-01-08,rj@l1.pingsheme.com,第三方软件-WPS-excel,6078,753,338.38,12.3900000000000005684341886080801486968994140625%,0.45,64
47,2021-01-08,rj@l1.pingsheme.com,第三方软件-雷电模拟器,6867,485,218.08,7.05999999999999960920149533194489777088165283203125%,0.45,10
48,2021-01-08,rj@l1.pingsheme.com,第三方软件-腾讯视频,402,17,7.65,4.230000000000000426325641456060111522674560546875%,0.45,9
49,2021-01-08,rj@l1.pingsheme.com,第三方软件-火狐浏览器,282,5,2.25,1.770000000000000017763568394002504646778106689453125%,0.45,2
50,2021-01-08,rj@l1.pingsheme.com,第三方软件-FlashPlayer,4319,240,107.98,5.55999999999999960920149533194489777088165283203125%,0.45,26
